Date : 2021-03-18 00:31:40
Directory : d:\Github\htlib\htlib\lib
Total : 102 files,  10089 codes, 446 comments, 1299 blanks, all 11834 lines

Languages
+----------+------------+------------+------------+------------+------------+
| language | files      | code       | comment    | blank      | total      |
+----------+------------+------------+------------+------------+------------+
| Dart     |        102 |     10,089 |        446 |      1,299 |     11,834 |
+----------+------------+------------+------------+------------+------------+

Directories
+---------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                      | files      | code       | comment    | blank      | total      |
+---------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                         |        102 |     10,089 |        446 |      1,299 |     11,834 |
| _internal                                                                                                                 |         23 |      1,534 |        293 |        306 |      2,133 |
| _internal\components                                                                                                      |          7 |        756 |         66 |        108 |        930 |
| _internal\director                                                                                                        |          1 |         75 |        125 |         69 |        269 |
| _internal\utils                                                                                                           |         10 |        283 |         87 |         61 |        431 |
| resources                                                                                                                 |          2 |          6 |          0 |          4 |         10 |
| src                                                                                                                       |         72 |      8,255 |        141 |        895 |      9,291 |
| src\api                                                                                                                   |          9 |        312 |          0 |         67 |        379 |
| src\api\core                                                                                                              |          2 |         12 |          0 |          8 |         20 |
| src\api\firebase                                                                                                          |          6 |        294 |          0 |         57 |        351 |
| src\api\firebase\core                                                                                                     |          2 |         44 |          0 |          8 |         52 |
| src\api\firebase\core\err                                                                                                 |          1 |          2 |          0 |          2 |          4 |
| src\db                                                                                                                    |          7 |        196 |          0 |         57 |        253 |
| src\db\core                                                                                                               |          2 |         29 |          0 |         14 |         43 |
| src\model                                                                                                                 |          7 |        487 |         15 |         80 |        582 |
| src\services                                                                                                              |         13 |      1,879 |         86 |        330 |      2,295 |
| src\services\book                                                                                                         |          2 |         74 |          2 |         14 |         90 |
| src\services\core                                                                                                         |          1 |         12 |          0 |          8 |         20 |
| src\services\state_management                                                                                             |          7 |      1,354 |         75 |        221 |      1,650 |
| src\services\state_management\core                                                                                        |          7 |      1,354 |         75 |        221 |      1,650 |
| src\services\state_management\core\cubit_list                                                                             |          3 |        357 |         24 |         65 |        446 |
| src\services\state_management\core\cubit_list\cubit                                                                       |          3 |        357 |         24 |         65 |        446 |
| src\services\state_management\core\list                                                                                   |          4 |        997 |         51 |        156 |      1,204 |
| src\utils                                                                                                                 |          2 |        474 |          0 |         43 |        517 |
| src\utils\painter                                                                                                         |          1 |        456 |          0 |         41 |        497 |
| src\view                                                                                                                  |         33 |      4,830 |         40 |        314 |      5,184 |
| src\view\book_management                                                                                                  |         10 |      1,294 |          4 |         89 |      1,387 |
| src\view\book_management\components                                                                                       |          8 |      1,036 |          4 |         64 |      1,104 |
| src\view\book_management\components\dialog                                                                                |          1 |        478 |          4 |         22 |        504 |
| src\view\book_management\components\shortcut                                                                              |          2 |         56 |          0 |         10 |         66 |
| src\view\home                                                                                                             |          2 |        144 |          0 |         10 |        154 |
| src\view\renting_history_management                                                                                       |          9 |      1,502 |          1 |        107 |      1,610 |
| src\view\renting_history_management\components                                                                            |          7 |      1,294 |          1 |         86 |      1,381 |
| src\view\renting_history_management\components\dialog                                                                     |          1 |        585 |          1 |         37 |        623 |
| src\view\renting_history_management\components\shortcut                                                                   |          2 |         66 |          0 |         11 |         77 |
| src\view\settings                                                                                                         |          2 |        188 |          0 |         12 |        200 |
| src\view\settings\components                                                                                              |          1 |         32 |          0 |          5 |         37 |
| src\view\user_management                                                                                                  |         10 |      1,702 |         35 |         96 |      1,833 |
| src\view\user_management\components                                                                                       |          6 |      1,100 |          2 |         52 |      1,154 |
| src\view\user_management\components\dialog                                                                                |          1 |        428 |          2 |         19 |        449 |
| src\view\user_management\components\shortcut                                                                              |          1 |         30 |          0 |          5 |         35 |
| src\view\user_management\printing                                                                                         |          2 |        315 |         33 |         19 |        367 |
| src\widget                                                                                                                |          1 |         77 |          0 |          4 |         81 |
+---------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+---------------------------------------------------------------------------------------------------------------------------+----------+------------+------------+------------+------------+
| filename                                                                                                                  | language | code       | comment    | blank      | total      |
+---------------------------------------------------------------------------------------------------------------------------+----------+------------+------------+------------+------------+
| d:\Github\htlib\htlib\lib\_internal\components\adaptive_button.dart                                                       | Dart     |        112 |          0 |         12 |        124 |
| d:\Github\htlib\htlib\lib\_internal\components\adaptive_scaffold.dart                                                     | Dart     |        162 |          7 |         10 |        179 |
| d:\Github\htlib\htlib\lib\_internal\components\custom_cupertino_switch.dart                                               | Dart     |        408 |         59 |         61 |        528 |
| d:\Github\htlib\htlib\lib\_internal\components\measure_size.dart                                                          | Dart     |         30 |          0 |         10 |         40 |
