Date : 2021-03-08 02:55:09
Directory : d:\Github\htlib\htlib\lib
Total : 89 files,  8168 codes, 249 comments, 1022 blanks, all 9439 lines

Languages
+----------+------------+------------+------------+------------+------------+
| language | files      | code       | comment    | blank      | total      |
| d:\Github\htlib\htlib\lib\_internal\utils\build_utils.dart                                               | Dart     |         63 |          0 |         11 |         74 |
| d:\Github\htlib\htlib\lib\_internal\utils\color_utils.dart                                               | Dart     |         18 |          0 |          5 |         23 |
| d:\Github\htlib\htlib\lib\_internal\utils\date_utils.dart                                                | Dart     |          4 |          0 |          2 |          6 |
| d:\Github\htlib\htlib\lib\_internal\utils\error_utils.dart                                               | Dart     |         41 |          0 |          7 |         48 |
| d:\Github\htlib\htlib\lib\_internal\utils\file_utils.dart                                                | Dart     |         17 |         68 |          4 |         89 |
| d:\Github\htlib\htlib\lib\_internal\utils\path_utils.dart                                                | Dart     |         11 |          0 |          3 |         14 |
| d:\Github\htlib\htlib\lib\_internal\utils\rest_utils.dart                                                | Dart     |         12 |          0 |          1 |         13 |
| d:\Github\htlib\htlib\lib\_internal\utils\string_utils.dart                                              | Dart     |         59 |          2 |         12 |         73 |
| d:\Github\htlib\htlib\lib\_internal\utils\utils.dart                                                     | Dart     |         22 |          0 |          6 |         28 |
| d:\Github\htlib\htlib\lib\_internal\widget_view.dart                                                     | Dart     |         11 |          0 |          6 |         17 |
| d:\Github\htlib\htlib\lib\app.dart                                                                       | Dart     |        103 |          0 |          7 |        110 |
| d:\Github\htlib\htlib\lib\globals.dart                                                                   | Dart     |          5 |          0 |          3 |          8 |
| d:\Github\htlib\htlib\lib\injection.config.dart                                                          | Dart     |         19 |          7 |          7 |         33 |
| d:\Github\htlib\htlib\lib\injection.dart                                                                 | Dart     |         21 |          0 |          4 |         25 |
| d:\Github\htlib\htlib\lib\main.dart                                                                      | Dart     |         15 |          7 |          8 |         30 |
| d:\Github\htlib\htlib\lib\resources\images.dart                                                          | Dart     |          5 |          0 |          3 |          8 |
| d:\Github\htlib\htlib\lib\resources\resources.dart                                                       | Dart     |          1 |          0 |          1 |          2 |
| d:\Github\htlib\htlib\lib\src\api\core\book_api.dart                                                     | Dart     |          4 |          0 |          2 |          6 |
| d:\Github\htlib\htlib\lib\src\api\core\crud_api.dart                                                     | Dart     |         10 |          0 |          6 |         16 |
| d:\Github\htlib\htlib\lib\src\api\firebase\book_api.dart                                                 | Dart     |         76 |          0 |         13 |         89 |
| d:\Github\htlib\htlib\lib\src\api\firebase\core\err\firebase_error.dart                                  | Dart     |          2 |          0 |          2 |          4 |
| d:\Github\htlib\htlib\lib\src\api\firebase\core\firebase_core_api.dart                                   | Dart     |         32 |          0 |          5 |         37 |
| d:\Github\htlib\htlib\lib\src\api\firebase\firebase.dart                                                 | Dart     |          3 |          0 |          1 |          4 |
| d:\Github\htlib\htlib\lib\src\api\firebase\renting_history_api.dart                                      | Dart     |         64 |          0 |         14 |         78 |
| d:\Github\htlib\htlib\lib\src\api\firebase\user_api.dart                                                 | Dart     |         92 |          0 |         17 |        109 |
| d:\Github\htlib\htlib\lib\src\api\htlib_api.dart                                                         | Dart     |          8 |          0 |          2 |         10 |
| d:\Github\htlib\htlib\lib\src\db\book_db.dart                                                            | Dart     |         33 |          0 |         10 |         43 |
| d:\Github\htlib\htlib\lib\src\db\config_db.dart                                                          | Dart     |         11 |          0 |          5 |         16 |
| d:\Github\htlib\htlib\lib\src\db\core\crud_db.dart                                                       | Dart     |          7 |          0 |          5 |         12 |
| d:\Github\htlib\htlib\lib\src\db\core_db.dart                                                            | Dart     |         29 |          0 |          9 |         38 |
| d:\Github\htlib\htlib\lib\src\db\htlib_db.dart                                                           | Dart     |         42 |          0 |          7 |         49 |
| d:\Github\htlib\htlib\lib\src\db\renting_history_db.dart                                                 | Dart     |         37 |          0 |          9 |         46 |
| d:\Github\htlib\htlib\lib\src\db\user_db.dart                                                            | Dart     |         31 |          0 |          8 |         39 |
| d:\Github\htlib\htlib\lib\src\model\book.dart                                                            | Dart     |         87 |          0 |         18 |        105 |
| d:\Github\htlib\htlib\lib\src\model\book.g.dart                                                          | Dart     |         48 |          4 |          8 |         60 |
| d:\Github\htlib\htlib\lib\src\model\hive_id.dart                                                         | Dart     |          5 |          0 |          1 |          6 |
| d:\Github\htlib\htlib\lib\src\model\renting_history.dart                                                 | Dart     |         83 |          3 |         15 |        101 |
| d:\Github\htlib\htlib\lib\src\model\renting_history.g.dart                                               | Dart     |         45 |          4 |          8 |         57 |
| d:\Github\htlib\htlib\lib\src\model\user.dart                                                            | Dart     |        110 |          3 |         21 |        134 |
| d:\Github\htlib\htlib\lib\src\model\user.g.dart                                                          | Dart     |         54 |          4 |          8 |         66 |
| d:\Github\htlib\htlib\lib\src\services\book\adding_book_dialog_service.dart                              | Dart     |         13 |          0 |          2 |         15 |
| d:\Github\htlib\htlib\lib\src\services\book\excel_service.dart                                           | Dart     |         61 |          2 |         12 |         75 |
| d:\Github\htlib\htlib\lib\src\services\book_service.dart                                                 | Dart     |         86 |          0 |         20 |        106 |
| d:\Github\htlib\htlib\lib\src\services\core\crud_service.dart                                            | Dart     |         10 |          0 |          7 |         17 |
| d:\Github\htlib\htlib\lib\src\services\renting_history_service.dart                                      | Dart     |         81 |          0 |         18 |         99 |
| d:\Github\htlib\htlib\lib\src\services\state_management\core\list\list_bloc.dart                         | Dart     |         38 |          0 |         11 |         49 |
| d:\Github\htlib\htlib\lib\src\services\state_management\core\list\list_bloc.freezed.dart                 | Dart     |        790 |         47 |        123 |        960 |
| d:\Github\htlib\htlib\lib\src\services\state_management\core\list\list_event.dart                        | Dart     |          8 |          0 |          2 |         10 |
| d:\Github\htlib\htlib\lib\src\services\state_management\core\list\list_state.dart                        | Dart     |          7 |          0 |          2 |          9 |
| d:\Github\htlib\htlib\lib\src\services\user_service.dart                                                 | Dart     |        106 |          0 |         22 |        128 |
| d:\Github\htlib\htlib\lib\src\utils\app_config.dart                                                      | Dart     |         18 |          0 |          2 |         20 |
| d:\Github\htlib\htlib\lib\src\utils\painter\logo.dart                                                    | Dart     |        471 |          0 |         41 |        512 |
| d:\Github\htlib\htlib\lib\src\view\book_management\book_management_binding.dart                          | Dart     |         63 |          0 |         10 |         73 |
| d:\Github\htlib\htlib\lib\src\view\book_management\book_management_screen.dart                           | Dart     |        215 |          0 |         14 |        229 |
| d:\Github\htlib\htlib\lib\src\view\book_management\components\book_bottom_bar.dart                       | Dart     |         96 |          0 |          5 |        101 |
| d:\Github\htlib\htlib\lib\src\view\book_management\components\book_list_tile.dart                        | Dart     |         38 |          0 |          4 |         42 |
| d:\Github\htlib\htlib\lib\src\view\book_management\components\book_screen.dart                           | Dart     |        226 |          0 |          8 |        234 |
| d:\Github\htlib\htlib\lib\src\view\book_management\components\dialog\adding_book_dialog.dart             | Dart     |        414 |          4 |         19 |        437 |
| d:\Github\htlib\htlib\lib\src\view\home\home_binding.dart                                                | Dart     |          3 |          0 |          3 |          6 |
| d:\Github\htlib\htlib\lib\src\view\home\home_screen.dart                                                 | Dart     |        143 |          0 |          7 |        150 |
| d:\Github\htlib\htlib\lib\src\view\renting_history_management\components\renting_history_bottom_bar.dart | Dart     |         95 |          0 |          5 |        100 |
| d:\Github\htlib\htlib\lib\src\view\renting_history_management\components\renting_history_card.dart       | Dart     |        262 |          0 |         16 |        278 |
| d:\Github\htlib\htlib\lib\src\view\renting_history_management\components\renting_history_screen.dart     | Dart     |         37 |          0 |          4 |         41 |
| d:\Github\htlib\htlib\lib\src\view\renting_history_management\dialog\adding_renting_history_dialog.dart  | Dart     |        469 |          0 |         31 |        500 |
| d:\Github\htlib\htlib\lib\src\view\renting_history_management\renting_history_management_binding.dart    | Dart     |          2 |          0 |          2 |          4 |
| d:\Github\htlib\htlib\lib\src\view\renting_history_management\renting_history_management_screen.dart     | Dart     |        225 |          0 |         25 |        250 |
| d:\Github\htlib\htlib\lib\src\view\settings\components\setting_bottom_bar.dart                           | Dart     |         32 |          0 |          5 |         37 |
| d:\Github\htlib\htlib\lib\src\view\settings\setting_screen.dart                                          | Dart     |        128 |          0 |          7 |        135 |
| d:\Github\htlib\htlib\lib\src\view\user_management\components\dialog\adding_user_dialog.dart             | Dart     |        464 |          5 |         19 |        488 |
| d:\Github\htlib\htlib\lib\src\view\user_management\components\user_bottom_bar.dart                       | Dart     |         96 |          0 |          5 |        101 |
| d:\Github\htlib\htlib\lib\src\view\user_management\components\user_grid_tile.dart                        | Dart     |         95 |          0 |          8 |        103 |
| d:\Github\htlib\htlib\lib\src\view\user_management\components\user_list_tile.dart                        | Dart     |         57 |          0 |          4 |         61 |
| d:\Github\htlib\htlib\lib\src\view\user_management\components\user_screen.dart                           | Dart     |        333 |          0 |         14 |        347 |
| d:\Github\htlib\htlib\lib\src\view\user_management\user_management_binding.dart                          | Dart     |          2 |          0 |          2 |          4 |
| d:\Github\htlib\htlib\lib\src\view\user_management\user_management_screen.dart                           | Dart     |        262 |          0 |         14 |        276 |
| d:\Github\htlib\htlib\lib\src\widget\htlib_sliver_app_bar.dart                                           | Dart     |         77 |          0 |          4 |         81 |
| d:\Github\htlib\htlib\lib\strings.dart                                                                   | Dart     |          0 |          0 |          1 |          1 |
| d:\Github\htlib\htlib\lib\styles.dart                                                                    | Dart     |        133 |          8 |         67 |        208 |
| Total                                                                                                    |          |      8,168 |        249 |      1,022 |      9,439 |
+----------------------------------------------------------------------------------------------------------+----------+------------+------------+------------+------------+
